id,floor,max_floor,size,rent,maintenance_fee,deposit,key_money,layout,year_built,nearest_station,location,url
12261,5,9,35.0,133000,10000,133000,133000,1R,2006,6,Kitashinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/495477
9446,3,14,22.68,88500,8500,0,0,1K,2003,10,Nishishinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/408840
20188,5,5,21.26,80300,7200,80300,80300,1K,2014,6,Higashioi| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/391743
7304,2,5,23.4,74000,5000,74000,74000,1K,2007,4,Higashioizumi| Nerima-ku| Tokyo,http://www.realestate.co.jp/rent/view/510217
7769,2,2,34.81,175000,10000,0,175000,1LDK,1997,2,Shiba(1-3-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/484190
8230,5,13,32.63,149000,10000,298000,0,1K,2016,6,Kudankita| Chiyoda-ku| Tokyo,http://www.realestate.co.jp/rent/view/376631
8828,1,2,51.13,98000,2000,98000,98000,2LDK,2015,10,Nakagawa| Adachi-ku| Tokyo,http://www.realestate.co.jp/rent/view/510655
11424,3,4,24.36,102000,3000,102000,0,1R,2007,3,Nishishinjuku| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/494346
8031,15,15,34.96,192000,12000,384000,0,1DK,2017,8,Higashi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/445197
19840,1,4,36.16,79000,8000,0,158000,1LDK,1975,5,Higashinakano| Nakano-ku| Tokyo,http://www.realestate.co.jp/rent/view/89734
13578,5,5,33.85,79000,6000,79000,79000,1DK,1989,5,Shinkoiwa| Katsushika-ku| Tokyo,http://www.realestate.co.jp/rent/view/303650
22205,6,10,22.95,68000,5000,68000,0,1R,1983,3,Kitaotsuka| Toshima-ku| Tokyo,http://www.realestate.co.jp/rent/view/447054
8641,2,2,25.36,72000,2000,72000,72000,1K,2002,1,Minamikarasuyama| Setagaya-ku| Tokyo,http://www.realestate.co.jp/rent/view/370930
7982,2,6,22.5,83900,6000,167800,0,1R,1992,8,Shirokane| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/444262
18601,8,8,44.82,187000,10000,187000,187000,1SLDK,2010,3,Kaigan(3-chome)| Minato-ku| Tokyo,http://www.realestate.co.jp/rent/view/243470
7538,3,3,32.7,95000,3000,95000,0,1LDK,2008,5,Nishiogikita| Suginami-ku| Tokyo,http://www.realestate.co.jp/rent/view/501044
15655,1,3,34.83,97000,3000,97000,0,1R,1992,3,Minamimotomachi| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/203723
10733,3,3,25.66,124200,11140,0,124200,1K,2009,10,Nakacho| Meguro-ku| Tokyo,http://www.realestate.co.jp/rent/view/61912
10979,12,12,30.91,305000,5000,610000,0,1LDK,2003,5,Kamiosaki| Shinagawa-ku| Tokyo,http://www.realestate.co.jp/rent/view/455017
10909,24,24,40.33,260000,15000,520000,0,3LDK,2008,6,Haramachi| Shinjuku-ku| Tokyo,http://www.realestate.co.jp/rent/view/450024
12222,4,4,54.22,264000,8000,264000,0,1LDK,2017,2,Ebisunishi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/476584
12427,2,4,20.79,99500,8040,0,99500,1K,2001,4,Misuji| Taito-ku| Tokyo,http://www.realestate.co.jp/rent/view/346112
15408,11,11,53.13,340000,0,680000,0,2LDK,2007,3,Yoyogi| Shibuya-ku| Tokyo,http://www.realestate.co.jp/rent/view/287138
